Disease,Age Group,Medicine Name,Male Dosage,Female Dosage,Side Effects,Max Tablets/Day,Foods to eat
Fever,1-5 years,Acetaminophen,160 mg (5 mL) for 1-2 years and 240 mg(7.5 ml) for 3-5 years  every 4-6 hours,160 mg (5 mL) every 4-6 hours,"Nausea, Rash",5 doses,"Hydrating fluids, broth-based soups, fruits, light grains, vegetables"
Fever,6-17 years,Ibuprofen,200 mg for 6-12 years and  400mg for 12-17 years for every 6-8 hours,200 mg every 6-8 hours,"Stomach pain, Dizziness",4 doses,"Hydrating fluids, broth-based soups, fruits, light grains, vegetables"
Fever,13-17 years,Paracentamol,500 mg every 4-6 hrs,500 mg every 4-6 hrs,"Liver damage, Allergic reactions",2-4 tablets,"Hydrating fluids, broth-based soups, fruits, light grains, vegetables"
Fever,14-60 years,Dolo,500 mg and 650mg for 18 above for every 4-6 hrs,500 mg and 650mg for 18 above for every 4-6 hrs,"Liver damage, Allergic reactions",2-4 tablets,"Hydrating fluids, broth-based soups, fruits, light grains, vegetables"
Fever,15-60 years,Aspirin,325-650 mg every 4-6 hours,325-650 mg every 4-6 hours,"Stomach bleeding, Ulcers","4,000 mg","Hydrating fluids, broth-based soups, fruits, light grains, vegetables"
Fever,16-60 years,Naproxen,220 mg every 8-12 hrs,220 mg every 8-12 hrs,"Stomach pain, Dizziness",2-3 tablets,"Hydrating fluids, broth-based soups, fruits, light grains, vegetables"
Fever,17-60 years,Diclofenac,50 mg every 8 hrs,50 mg every 8 hrs,"Stomach pain, Dizziness",1-2 tablets,"Hydrating fluids, broth-based soups, fruits, light grains, vegetables"
Fever,18-60 years,Celecoxib,200 mg once daily,200 mg once daily,"Stomach pain, Dizziness",1 tablet,"Hydrating fluids, broth-based soups, fruits, light grains, vegetables"
Fever,19-60 years,Ketoprofen,50 mg every 6-8 hrs,50 mg every 6-8 hrs,"Stomach pain, Dizziness",2-4 tablets,"Hydrating fluids, broth-based soups, fruits, light grains, vegetables"
Fever,20-60 years,Meloxicam,7.5 mg once daily,7.5 mg once daily,"Stomach pain, Dizziness	",2 tablets,"Hydrating fluids, broth-based soups, fruits, light grains, vegetables"
Low Fever,1-2 years,Acetaminophen(Low fever),160 mg (5 mL) every 4-6 hrs,160 mg (5 mL) every 4-6 hrs,"Nausea, Rash",5 doses,"Hydrating fluids, broth-based soups, fruits, light grains"
Low Fever,3-5 years,Ibuprofen(Low fever),240 mg (7.5 mL) every 4-6 hrs,240 mg (7.5 mL) every 4-6 hrs,"Stomach pain, Dizziness",4 doses,"Hydrating fluids, broth-based soups, fruits, light grains"
Low Fever,6-12 years,Aspirin(Low fever),200 mg every 6-8 hrs,200 mg every 6-8 hrs,"Stomach bleeding, Ulcers","3,200 mg","Hydrating fluids, broth-based soups, fruits, light grains"
Low Fever,13-17 years,Paracetamol(Low fever),500 mg every 4-6 hrs,500 mg every 4-6 hrs,"Liver damage, Allergic reactions","4,000 mg","Hydrating fluids, broth-based soups, fruits, light grains"
Low Fever,14-60 years,Naproxen(Low fever),220 mg every 8-12 hrs,220 mg every 8-12 hrs,"Stomach pain, Dizziness","1,320 mg","Hydrating fluids, broth-based soups, fruits, light grains"
Low Fever,15-60 years,Diclofenac(Low fever),50 mg every 8 hrs,50 mg every 8 hrs,"Stomach pain, Dizziness",150 mg,"Hydrating fluids, broth-based soups, fruits, light grains"
Low Fever,16-60 years,Celecoxib(Low fever),200 mg once daily,200 mg once daily,"Stomach pain, Dizziness",400 mg,"Hydrating fluids, broth-based soups, fruits, light grains"
Low Fever,17-60 years,Ketoprofen(Low fever),50 mg every 6-8 hrs,50 mg every 6-8 hrs,"Stomach pain, Dizziness",300 mg,"Hydrating fluids, broth-based soups, fruits, light grains"
Low Fever,18-60 years,Meloxicam(Low fever),7.5 mg once daily,7.5 mg once daily,"Stomach pain, Dizziness",15 mg,"Hydrating fluids, broth-based soups, fruits, light grains"
High Fever,1-2 years,Acetaminophen(High fever),160 mg (5 mL) every 4-6 hours,160 mg (5 mL) every 4-6 hours,"Nausea, Rash",5 doses,"Hydrating fluids, broth-based soups, fruits, light grains, vegetables"
High Fever,3-5 years,Ibuprofen(High fever),240 mg (7.5 mL) every 4-6 hrs,240 mg (7.5 mL) every 4-6 hrs,"Stomach pain, Dizziness",4 doses,"Hydrating fluids, broth-based soups, fruits, light grains"
High Fever,6-12 years,Aspirin(High fever),200 mg every 6-8 hrs,200 mg every 6-8 hrs,"Stomach bleeding, Ulcers","3,200 mg","Hydrating fluids, broth-based soups, fruits, light grains"
High Fever,13-17 years,Paracetamol(High fever),500 mg every 4-6 hrs,500 mg every 4-6 hrs,"Liver damage, Allergic reactions","4,000 mg","Hydrating fluids, broth-based soups, fruits, light grains"
High Fever,17-60 years,Diclofenac(High fever),50 mg every 8 hrs,50 mg every 8 hrs,"Stomach pain, Dizziness",150 mg,"Hydrating fluids, broth-based soups, fruits, light grains"
High Fever,18-60 years,Indomethacin(High fever),25 mg every 8-12 hrs,25 mg every 8-12 hrs,"Stomach pain, Dizziness",150 mg,"Hydrating fluids, broth-based soups, fruits, light grains"
Cough,6-12 years,Dextromethorphan,5-10 mg every 4 hours,5-10 mg every 4 hours,"Drowsiness, Dizziness",4 doses,"Warm teas, honey, ginger, chicken soup, and plenty of fluids"
Cough,13-17 years,Guaifenesin,10-20 mg every 4 hours,10-20 mg every 4 hours,"Nausea, Vomiting",6 doses,"Warm teas, honey, ginger, chicken soup, and plenty of fluids"
Cough,14-60 years,Codeine,15-60 mg every 4-6 hrs,15-60 mg every 4-6 hrs,"Constipation, Drowsiness",3-4 tablets,"Warm teas, honey, ginger, chicken soup, and plenty of fluids"
Cough,15-60 years,Benzonatate,100-200 mg three times daily,100-200 mg three times daily,"Drowsiness, Dizziness",3-4 tablets,"Warm teas, honey, ginger, chicken soup, and plenty of fluids"
Cough,16-60 years,Butamirate,50 mg every 8-12 hrs,50 mg every 8-12 hrs,"Drowsiness, Dizziness",1-2 tablets,"Warm teas, honey, ginger, chicken soup, and plenty of fluids"
Cough,17-60 years,Ambroxol,30 mg three times daily,30 mg three times daily,"Nausea, Vomiting",3-4 tablets,"Warm teas, honey, ginger, chicken soup, and plenty of fluids"
Cough,18-60 years,Bromhexine,8 mg three times daily,8 mg three times daily,"Nausea, Vomiting",3-4 tablets,"Warm teas, honey, ginger, chicken soup, and plenty of fluids"
Cough,19-60 years,Levocloperastine,20 mg three times daily,20 mg three times daily,"Nausea, Vomiting",3-4 tablets,"Warm teas, honey, ginger, chicken soup, and plenty of fluids"
Cough,20-60 years,Hydrocodone,5-10 mg every 4-6 hrs,5-10 mg every 4-6 hrs,"Nausea, Vomiting",3-4 tablets,"Warm teas, honey, ginger, chicken soup, and plenty of fluids"
Cold,6-12 years,Pseudoephedrine,30 mg every 4-6 hours,30 mg every 4-6 hours,"Increased heart rate, Nervousness",4 doses,"Citrus fruits, leafy greens, garlic, ginger, chicken soup, and plenty of fluids"
Cold,13-17 years,Diphenhydramine,25 mg every 4-6 hours,25 mg every 4-6 hours,"Drowsiness, Dry mouth",4 doses,"Citrus fruits, leafy greens, garlic, ginger, chicken soup, and plenty of fluids"
Cold,"14-60 years	",Chlorpheniramine,4 mg every 4-6 hrs,4 mg every 4-6 hrs,"Drowsiness, Dry mouth",24 mg,"Citrus fruits, leafy greens, garlic, ginger, chicken soup, and plenty of fluids"
Cold,15-60 years,Phenylephrine,10 mg every 4-6 hrs,10 mg every 4-6 hrs,"Increased heart rate, Nervousness",60 mg,"Citrus fruits, leafy greens, garlic, ginger, chicken soup, and plenty of fluids"
Cold,"16-60 years	",Loratadine,10 mg once daily,10 mg once daily,"Drowsiness, Dry mouth",10 mg,"Citrus fruits, leafy greens, garlic, ginger, chicken soup, and plenty of fluids"
Cold,17-60 years,Cetirizine,10 mg once daily,10 mg once daily,"Drowsiness, Dry mouth",10 mg,"Citrus fruits, leafy greens, garlic, ginger, chicken soup, and plenty of fluids"
